year,month,transaction,sum_amount
2015,9,Deposit,569.58
2015,10,Deposit,1708.78
2015,11,Deposit,1139.18
2015,12,Deposit,1139.18
2016,1,Deposit,1139.18
2016,2,Deposit,1139.18
2016,3,Deposit,1708.77
2016,4,Deposit,1139.18
2016,5,Deposit,1139.18
2016,6,Deposit,1139.18
2016,7,Deposit,1812.31
2016,9,Deposit,2485.44
2016,10,Deposit,621.36
2016,11,Deposit,1864.08
2016,12,Deposit,1242.72
2017,1,Deposit,1864.08
2017,2,Deposit,1242.72
2017,3,Deposit,1242.72
2017,4,Deposit,1242.72
2017,5,Deposit,1242.72
2017,6,Deposit,1864.08
2017,7,Deposit,621.36
2017,8,Deposit,1242.72
2017,9,Deposit,1864.08
2017,10,Deposit,1242.72
2017,11,Deposit,1882.68
2017,12,Deposit,639.96
2018,1,Deposit,1919.88
2018,2,Deposit,1279.92
2018,3,Deposit,1279.92
2018,4,Deposit,1279.92
2018,5,Deposit,1919.88
2018,6,Deposit,1279.92
2018,7,Deposit,1440.04
2018,8,Deposit,1440.04
2018,9,Deposit,1440.04
2018,10,Deposit,1440.04
2018,11,Deposit,1080.02
2018,12,Deposit,720.02
2019,1,Deposit,2160.06
2019,2,Deposit,1440.04
2019,3,Deposit,1440.04
2019,4,Deposit,1440.04
2019,5,Deposit,1440.04
2019,6,Deposit,2160.06
2019,7,Deposit,1440.04
2019,8,Deposit,1440.04
2019,9,Deposit,1440.04
2019,10,Deposit,1440.04
2019,11,Deposit,1440.04
2019,12,Deposit,1440.04
2020,1,Deposit,720.02
